Source;Length
Small site;4,693
Small site;2,925
Small site;2,041
Small site;1,87
Small site;1,597
Small site;1,279
Small site;1,69
Small site;1,489
Small site;1,569
Small site;2,445
Small site;1,666
Small site;1,688
Small site;0,857
Small site;1,047
Small site;1,198
Small site;0,593
Small site;1,537
Small site;0,927
Small site;2,521
Small site;0,572
Small site;1,639
Small site;4,814
Small site;4,859
Small site;0,573
Small site;1,018
Small site;1,115
Small site;1,311
Small site;1,459
Small site;4,874
Small site;0,593
Small site;3,639
Small site;2,849
Small site;3,867
Small site;2,059
Small site;3,425
Small site;3,775
Small site;1,344
Small site;3,92
Small site;3,718
Small site;3,886
Small site;4,856
Small site;2,275
Small site;4,872
Small site;2,226
Small site;0,814
Small site;2,125
Small site;4,236
Small site;4,799
Small site;4,917
Small site;4,852
Small site;4,116
Small site;1,47
Small site;1,652
Small site;3,02
Small site;3,96
Small site;4,052
Small site;4,103
Small site;4,353
Small site;4,445
Small site;4,477
Small site;4,82
Small site;4,623
Small site;4,681
Small site;4,83
Small site;4,88
Small site;4,913
Small site;4,93
Small site;0,526
Small site;0,642
Small site;3,329
Small site;1,629
Small site;3,127
Small site;3,071
Small site;3,018
Small site;2,758
Small site;2,551
Small site;2,718
Small site;2,801
Small site;2,706
Small site;3,06
Small site;2,859
Small site;2,952
Small site;3,007
Small site;2,799
Small site;3,192
Small site;1,955
Small site;2,217
Small site;2,337
Small site;1,71
Small site;3,101
Small site;2,607
Small site;3,535
Small site;3,03
Small site;4,227
Small site;4,253
Small site;4,576
Small site;2,639
Small site;2,959
Small site;3,255
Small site;1,465
Small site;1,555
Small site;1,741
Small site;1,879
Small site;4,77
Small site;4,575
Small site;1,015
Small site;0,712
Small site;3,907
Small site;3,983
Small site;3,742
Small site;3,082
Small site;3,147
Small site;4,289
Small site;2,514
Small site;2,56
Small site;3,414
Small site;3,719
Small site;3,712
Small site;1,826
Small site;3,833
Small site;3,637
Small site;3,794
Small site;2,901
Small site;4,712
Small site;2,29
Small site;4,713
Small site;2,216
Small site;1,277
Small site;2,071
Small site;4,058
Small site;4,589
Small site;4,705
Small site;4,62
Small site;3,877
Small site;0,697
Small site;1,617
Small site;1,801
Small site;2,055
Small site;2,722
Small site;2,79
Small site;2,847
Small site;3,908
Small site;3,991
Small site;3,897
Small site;3,914
Small site;4,163
Small site;4,277
Small site;4,293
Small site;4,708
Small site;4,394
Small site;4,504
Small site;4,674
Small site;4,652
Small site;4,691
Small site;4,67
Small site;4,967
Small site;0,586
Small site;0,732
Small site;0,085
Small site;0,259
Small site;0,598
Small site;0,811
Small site;0,744
Small site;3,661
Small site;2,576
Small site;2,042
Small site;2,002
Small site;1,971
Small site;3,441
Small site;3,379
Small site;3,341
Small site;3,158
Small site;2,975
Small site;2,786
Small site;2,8
Small site;2,754
Small site;2,973
Small site;3,067
Small site;2,979
Small site;2,76
Small site;3,126
Small site;3,418
Small site;3,247
Small site;3,341
Small site;3,402
Small site;3,2
Small site;3,166
Small site;3,579
Small site;4,231
Small site;4,222
Small site;4,155
Small site;4,097
Small site;2,45
Small site;2,725
Small site;2,847
Small site;2,175
Small site;4,155
Small site;4,021
Small site;3,472
Small site;2,885
Small site;3,507
Small site;3,128
Small site;3,281
Small site;3,025
Small site;4,059
Small site;4,059
Small site;4,53
Small site;0,453
Small site;4,358
Small site;2,883
Small site;3,289
Small site;3,213
Small site;3,331
Small site;3,625
Small site;4,146
Small site;0,873
Small site;1,015
Small site;0,706
Small site;0,963
Small site;1,071
Small site;1,905
Small site;0,602
Small site;0,644
Small site;0,539
Small site;1,184
Small site;1,268
Small site;1,446
Small site;1,578
Small site;4,561
Small site;4,464
Small site;0,706
Small site;0,214
Small site;0,56
Small site;3,66
Small site;3,417
Small site;2,76
Small site;3,981
Small site;2,326
Small site;3,159
Small site;3,482
Small site;1,567
Small site;3,614
Small site;3,415
Small site;3,578
Small site;4,525
Small site;2,021
Small site;4,535
Small site;1,956
Small site;1,012
Small site;1,83
Small site;3,89
Small site;4,442
Small site;4,559
Small site;4,488
Small site;3,749
Small site;0,603
Small site;1,39
Small site;1,304
Small site;1,489
Small site;2,567
Small site;2,628
Small site;2,673
Small site;3,672
Small site;3,76
Small site;4,002
Small site;4,103
Small site;4,129
Small site;4,503
Small site;4,259
Small site;4,336
Small site;4,494
Small site;4,517
Small site;4,552
Small site;4,557
Small site;4,864
Small site;0,373
Small site;0,48
Small site;0,123
Small site;0,319
Small site;0,508
Small site;0,488
Small site;3,336
Small site;1,649
Small site;3,115
Small site;2,655
Small site;2,477
Small site;2,649
Small site;2,743
Small site;2,654
Small site;3,096
Small site;2,93
Small site;3,025
Small site;2,887
Small site;3,916
Small site;2,508
Small site;2,648
Small site;1,897
Small site;3,857
Small site;3,152
